No.,メーカー,商品名,ASIN,セール価格(税込),参考価格,割引率,セール種別,タイプ,OS,光源,解像度,輝度,スローレシオ,備考,商品URL
1,XGIMI,HORIZON 20 Standard Kit,B0FR97KLLQ,229900,289900,20.7%,プライムデーセール,ホーム(ジンバル一体型),Google TV,3色レーザー,4K (3840x2160),3200 ISOルーメン,1.2:1,,https://www.amazon.co.jp/dp/B0FR97KLLQ
2,XGIMI,HORIZON 20 Pro Standard Kit,B0FR997ZTP,269900,349900,22.9%,プライムデーセール,ホーム(ジンバル一体型),Google TV,3色レーザー,4K (3840x2160),4100 ISOルーメン,1.2:1,VGP2026金賞,https://www.amazon.co.jp/dp/B0FR997ZTP
3,XGIMI,HORIZON 20 Max Standard Kit,B0FR8D725M,399900,450900,11.3%,プライムデーセール,ホーム(ジンバル一体型),Google TV,3色レーザー,4K (3840x2160),,1.2:1,VGP2026 Lifestyle部門金賞/IMAX Enhanced,https://www.amazon.co.jp/dp/B0FR8D725M
4,XGIMI,HORIZON Pro,B095CF4LKV,119800,197890,39.5%,プライムデーセール,ホーム,Android TV 10.0,LED,4K (3840x2160),1500 ISOルーメン,1.2:1,型落ちハイエンド,https://www.amazon.co.jp/dp/B095CF4LKV
5,XGIMI,TITAN,B0GJBZBZW8,598000,698000,14.3%,プライムデーセール,ホーム(フラグシップ),OS非内蔵(外付けGoogle TVデバイス),デュアルレーザー,4K (3840x2160),5000 ISOルーメン,1.2〜1.8:1(光学1.5倍ズーム),0.78インチDMD/Dolby Vision,https://www.amazon.co.jp/dp/B0GJBZBZW8
6,XGIMI,Halo+ (New),B0D7PKHGWY,94990,129800,26.8%,プライムデーセール,モバイル(バッテリー内蔵),Google TV,LED,フルHD (1920x1080),700 ISOルーメン,1.2:1,Netflix対応,https://www.amazon.co.jp/dp/B0D7PKHGWY
7,XGIMI,MoGo 2 Pro (New),B0GQXNMG9Z,59800,79800,25.1%,プライムデーセール,ポータブル小型,Google TV,LED,フルHD (1920x1080),430 ISOルーメン,1.2:1,,https://www.amazon.co.jp/dp/B0GQXNMG9Z
8,XGIMI,Elfin Flip Plus,B0GP7TLZ5T,55800,69800,20.1%,プライムデーセール,ジンバル一体型小型(150°角度調整),Google TV,LED,フルHD (1920x1080),500 ISOルーメン,1.2:1,,https://www.amazon.co.jp/dp/B0GP7TLZ5T
9,XGIMI,Elfin Flip Pro,B0DBQHT5M8,45800,69800,34.4%,プライムデーセール,ジンバル一体型小型,XGIMI OS(独自),LED,フルHD (1920x1080),400 ISOルーメン,1.2:1,VGP2025金賞/Netflix対応,https://www.amazon.co.jp/dp/B0DBQHT5M8
10,XGIMI,Nova,B0G8K9TRQL,29900,39900,25.1%,プライムデーセール,ポータブル(ジンバル一体型),Google TV,LED,フルHD (1920x1080),250 ISOルーメン,1.3:1,JBLスピーカー内蔵/LCD方式,https://www.amazon.co.jp/dp/B0G8K9TRQL
11,JMGO,N3 Ultimate,B0GLZH8Z3L,399344,499180,20.0%,プライムデーセール,ホーム(電動ジンバル),Google TV,3色レーザー,4K (3840x2160),5800 ISOルーメン,0.88〜1.71:1(光学ズーム),レンズシフト対応,https://www.amazon.co.jp/dp/B0GLZH8Z3L
12,JMGO,N1S Ultimate 4K,B0DGTJ7ZJ2,226112,337480,33.0%,プライムデーセール,ジンバル一体型ホーム,Google TV,3色レーザー,4K (3840x2160),,1.2:1,Netflix公式対応,https://www.amazon.co.jp/dp/B0DGTJ7ZJ2
13,JMGO,N1S Ultra 4K,B0D4QLH912,210000,342980,38.8%,プライムデーセール,ジンバル一体型ホーム,Google TV,3色レーザー,4K (3840x2160),,1.2:1,Netflix公式対応,https://www.amazon.co.jp/dp/B0D4QLH912
14,JMGO,N1S Pro 4K,B0DFM3P7XJ,179626,249480,28.0%,タイムセール,ジンバル一体型ホーム,Google TV,3色レーザー,4K (3840x2160),,1.2:1,Netflix公式対応,https://www.amazon.co.jp/dp/B0DFM3P7XJ
15,JMGO,N1S 4K,B0F13TN2CP,118605,186780,36.5%,プライムデーセール,ジンバル一体型ホーム,Google TV,3色レーザー,4K (3840x2160),,1.2:1,Netflix公式対応,https://www.amazon.co.jp/dp/B0F13TN2CP
16,JMGO,N1S,B0D4TWCVBB,98591,149380,34.0%,プライムデーセール,ジンバル一体型,Google TV,3色レーザー,フルHD (1920x1080),,1.2:1,Netflix公式対応,https://www.amazon.co.jp/dp/B0D4TWCVBB
17,JMGO,O2S Ultra 4K,B0G1KSZ4B8,399344,499180,20.0%,プライムデーセール,超短焦点(UST),Google TV,3色レーザー,4K (3840x2160),3650 ISOルーメン,0.16:1,壁から約15cmで100インチ/VGPホームシアター大賞,https://www.amazon.co.jp/dp/B0G1KSZ4B8
18,JMGO,PicoPlay+,B0GFW17VG4,63346,95260,33.5%,プライムデーセール,コンパクト(縦投影対応・回転ボトル型),Google TV,LED,フルHD (1920x1080),450 ISOルーメン,1.2:1,Netflix公式対応,https://www.amazon.co.jp/dp/B0GFW17VG4
19,ANKER,Nebula X1 + サテライトスピーカーセット,B0F3CDQ1J1,269900,449900,40.0%,タイムセール,ホーム(セット品),Google TV,3色レーザー,4K (3840x2160),3500 ANSIルーメン,0.9〜1.5:1(光学ズーム),※スピーカーセットのみセール対象,https://www.amazon.co.jp/dp/B0F3CDQ1J1
20,ANKER,Nebula Cosmos 4K SE,B0D8HNB8LN,139900,199900,30.0%,タイムセール,ホーム,Google TV,レーザー+LED,4K (3840x2160),1800 ANSIルーメン,,Dolby Vision対応,https://www.amazon.co.jp/dp/B0D8HNB8LN
21,ANKER,Soundcore Nebula P1,B0FSCVT4G9,89900,149900,40.0%,タイムセール,ホーム(ジンバル内蔵・着脱式スピーカー),Google TV,LED,フルHD (1920x1080),650 ANSIルーメン,約1.2:1(180インチ@約4.8m),着脱式デュアルスピーカー20W,https://www.amazon.co.jp/dp/B0FSCVT4G9
